	ENSG00000284803.1|312|CH17-66N5.1|lncRNA	ENSG00000281808.1|132|ENSG10010135443.1|snoRNA	ENSG00000270800.3|5231|RPS10-NUDT3|protein_coding	ENSG00000274998.1|133|SNORA17A|snoRNA	ENSG00000232112.3|1139|TMA7|protein_coding	ENSG00000252316.1|96|RNY4|misc_RNA	ENSG00000233016.7|4891|SNHG7|lncRNA	ENSG00000280498.1|135|SNORA16A|snoRNA	ENSG00000288663.1|5699|RP11-680A11.7|lncRNA	ENSG00000277209.1|333|RPPH1|ribozyme	ENSG00000283293.1|328|RN7SK|snRNA	ENSG00000278705.2|1332|H4C2|protein_coding	ENSG00000278771.1|299|RN7SL3|misc_RNA	ENSG00000277209.1|333|RPPH1|ribozyme	ENSG00000282885.2|2034|RP11-596C23.6|lncRNA	ENSG00000277027.1|264|RMRP|ribozyme	ENSG00000288663.1|5699|RP11-680A11.7|lncRNA	ENSG00000274012.1|300|RN7SL2|misc_RNA	ENSG00000276966.2|1487|H4C5|protein_coding	ENSG00000276168.1|299|RN7SL1|misc_RNA
X20241116.OAPS.3_BC15	-2.462333813840284	3.501123489114315	-1.872473163541112	3.501123489114315	3.150240967643815	3.292808360847902	3.5242340633754266	0.77480728433197	0.5989643605472689	2.829256631592434	0.46557161516603346	-0.5318618173878104	-2.479082723558692	2.829256631592434	1.9483580620043808	2.0169533394704895	0.5989643605472689	1.9483580620043808	0.2875223664823996	1.3205966655808792
X20241116.OAPS.4_BC35	2.595917772815188	-3.4313876003269788	2.0795885835219976	-3.4313876003269788	-3.1548191925744917	-3.187283945848185	-3.4749921802141026	-0.5364572638229813	-0.807759137269272	-2.8922265401977705	0.42315708927801005	-0.5833645216721028	2.5027985144258453	-2.8922265401977705	-2.039541997139396	-2.159563467049778	-0.807759137269272	-2.039541997139396	-0.5381563404125341	-1.4426900010485082
X20241123.OAPS.5_BC14	0.5024268334356828	0.1692478780846476	0.865513470819635	0.1692478780846476	-0.3517136088319719	-0.026962187249797685	0.04901739787754908	0.9736106975850922	-1.1142626352233505	-0.5961150507611714	-1.0518605853174812	-1.4236829256300336	-1.178917533742521	-0.5961150507611714	-0.8516077120837983	-0.8553895915834203	-1.1142626352233505	-0.8516077120837983	-1.4429096194478306	-0.9425718804666104
X20241123.OAPS.5_BC16	0.9588568617591527	0.1692478780846476	0.9909854335469566	0.1692478780846476	0.14988779918419176	0.030763460575527625	0.04901739787754908	1.263237383357762	-1.1142626352233505	-0.2087254072387518	-1.0518605853174812	-1.4236829256300336	0.8037843022292674	-0.2087254072387518	-0.5038284491321335	-0.7435200092399971	-1.1142626352233505	-0.5038284491321335	-1.3447151228384524	-0.503843251650616
X20241123.OAPS.5_BC30	-0.5859938598957976	-0.2200512095912928	-0.6743945811875408	-0.2200512095912928	0.43588292147216406	0.24513950553023825	-0.13027731944491852	-0.8859933411381868	1.0483614755848312	0.555253876835846	-1.0518605853174812	-1.4236829256300336	0.6184707187006441	0.555253876835846	0.5000151758329742	0.6081715002407629	1.0483614755848312	0.5000151758329742	1.917758782094029	0.6615737999529325
X20241123.OAPS.5_BC33	-0.5859938598957976	0.008203438231966228	-0.7569526362178456	0.008203438231966228	-0.224204571321319	-0.31817510809897237	0.126240081767093	-0.8859933411381868	0.6455736598495562	0.11477029681525922	-1.0518605853174812	-1.4236829256300336	-0.3067262049410972	0.11477029681525922	0.4022556781997891	0.6180454893221967	0.6455736598495562	0.4022556781997891	0.49633823101768054	0.3195679973275218
X20241215.OAPS.3_BC11	0.6494165486007483	0.36496289322385406	0.7271231168665467	0.36496289322385406	-1.0374493447204642	1.0976157329411	0.3342571593128892	1.734852171389305	-0.4700794761471814	-0.8028120882185855	0.6135765290269424	-0.3119175564911039	0.19503258425740605	-0.8028120882185855	-1.164132212134639	-0.7627964694460678	-0.4700794761471814	-1.164132212134639	-1.143090940040717	-1.545392393844727
X20241215.OAPS.3_BC24	0.32316292866101043	-0.03908533701401057	0.3481558366038447	-0.03908533701401057	-0.15606015001575124	-0.4778287787271635	-0.08126624767651153	1.1165397738276015	-1.3673562262450476	-0.8411157000713972	0.6037561473804091	0.7549224538874175	0.720160429099068	-0.8411157000713972	-0.5744738749245203	-1.8167092856971243	-1.3673562262450476	-0.5744738749245203	-0.7240352034342687	-0.6879103741301043
X20241215.OAPS.4_BC16	-0.6527725364519609	-0.13591132751494142	-0.39418049096642216	-0.13591132751494142	0.2309227390635757	0.9102409970741409	-0.11922221666041039	-1.0295316569611233	-0.21473445694590393	-0.06556698535776655	1.9787382353862708	1.7047468294181383	0.2900803620746388	-0.06556698535776655	2.4666823215219074	0.9553290768947793	-0.21473445694590393	2.4666823215219074	1.0014395573977666	2.530645721010252
X20241215.OAPS.4_BC25	-0.5816509485139291	-0.2935583926243646	-0.5147494459547138	-0.2935583926243646	1.363017967887046	-0.3057904387932999	-0.278062549527517	-1.0671324513333056	0.11295807869493549	-0.27574461691020385	1.8070286636822024	1.149296195821765	0.40738932004767414	-0.27574461691020385	1.1570786773385608	0.9635888795837727	0.11295807869493549	1.1570786773385608	0.515093628472786	1.7872643113298154
